path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.2.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,4672,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",9,7.405,7.2535,0.3644
model.2.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2336,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",9,3.5498,3.5542,0.2175
model.2.m.0.cv1.conv,485094928ec632db,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",True,2304,44236800,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",9,2.8189,2.8347,0.1201
model.2.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2336,,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",9,3.4166,3.2049,0.4776
model.2.m.0.cv2.conv,485094928ec632db,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",True,2304,44236800,tensor,"[[1, 16, 120, 160]]","[[1, 16, 120, 160]]",9,2.8629,2.6667,0.468
model.3,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,18560,,tensor,"[[1, 32, 120, 160]]","[[1, 64, 60, 80]]",9,5.1436,5.237,0.2758
model.3.conv,eb5fba621d1cd15b,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}",True,18432,88473600,tensor,"[[1, 32, 120, 160]]","[[1, 64, 60, 80]]",9,4.4899,4.6755,0.3464
model.4,d3b9b58e896c9596,C2f,"{""class"": ""C2f""}",False,49664,,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",9,18.671,18.2846,0.9565
model.4.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4224,,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",9,3.2614,3.175,0.2738
model.4.cv1.conv,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4096,19660800,tensor,"[[1, 64, 60, 80]]","[[1, 64, 60, 80]]",9,2.5513,2.5413,0.0649
model.4.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,8320,,tensor,"[[1, 128, 60, 80]]","[[1, 64, 60, 80]]",9,4.6635,4.4303,0.6459
model.4.cv2.conv,00b2e6a5f34b1125,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,8192,39321600,tensor,"[[1, 128, 60, 80]]","[[1, 64, 60, 80]]",9,4.0659,3.8624,0.5696
model.4.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,18560,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,5.3466,5.3278,0.6378
model.4.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,2.8923,2.6195,0.6387
model.4.m.0.cv1.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,44236800,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,2.5083,2.2512,0.6946
model.4.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,2.2,2.282,0.3212
model.4.m.0.cv2.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,44236800,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,1.7427,1.5748,0.3029
model.4.m.1,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,18560,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,4.4708,4.2348,0.4131
model.4.m.1.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,2.239,1.9531,0.4117
model.4.m.1.cv1.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,44236800,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,1.7634,1.645,0.2213
model.4.m.1.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,1.8767,1.9079,0.0907
model.4.m.1.cv2.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,44236800,tensor,"[[1, 32, 60, 80]]","[[1, 32, 60, 80]]",9,1.5474,1.5863,0.0966
model.5,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,73984,,tensor,"[[1, 64, 60, 80]]","[[1, 128, 30, 40]]",9,3.698,3.6642,0.6205
model.5.conv,5050b8d38b4c698e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [2, 2]}",True,73728,88473600,tensor,"[[1, 64, 60, 80]]","[[1, 128, 30, 40]]",9,3.2381,2.768,0.674
model.6,d3b9b58e896c9596,C2f,"{""class"": ""C2f""}",False,197632,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",9,12.8598,12.871,1.3299
model.6.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,16640,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",9,2.1453,1.8092,0.58
model.6.cv1.conv,347e13f415663a02,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16384,19660800,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",9,1.7791,1.4907,0.5899
model.6.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,33024,,tensor,"[[1, 256, 30, 40]]","[[1, 128, 30, 40]]",9,2.9962,2.9463,0.6254
model.6.cv2.conv,1712e7d5e9da8bf3,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,32768,39321600,tensor,"[[1, 256, 30, 40]]","[[1, 128, 30, 40]]",9,2.6494,2.6458,0.6378
model.6.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,73984,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,3.6564,3.6977,0.4344
model.6.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,1.6669,1.5348,0.2672
model.6.m.0.cv1.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,44236800,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,1.433,1.3324,0.2498
model.6.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",9,1.7839,1.5691,0.4287
